city,n,mean_error_c,median_error_c,mae_c,rmse_c,std_error_c,bias_sign,bias_magnitude_c,unit,classification,cause
"Shanghai, CN",42,-0.157,-0.05,0.705,0.88,0.877,negative,0.157,C,OK,within tolerance — no systematic miss cause detected
"Singapore, SG",41,-0.144,0.0,0.71,0.957,0.958,negative,0.144,C,OK,within tolerance — no systematic miss cause detected
"Qingdao, CN",41,0.144,0.2,0.651,0.902,0.902,positive,0.144,C,OK,within tolerance — no systematic miss cause detected
"Kuala Lumpur, MY",42,0.131,0.2,0.679,0.853,0.853,positive,0.131,C,OK,within tolerance — no systematic miss cause detected
"Shenzhen, CN",42,-0.129,-0.1,1.01,1.191,1.199,negative,0.129,C,HIGH_VARIANCE,high scatter (std 1.20°C) — model/noise error rather than a fixed station offset
"Tel Aviv, IL",46,-0.124,-0.1,0.463,0.578,0.571,negative,0.124,C,OK,within tolerance — no systematic miss cause detected
"Sao Paulo, BR",43,-0.112,0.0,1.284,1.597,1.612,negative,0.112,C,HIGH_VARIANCE,high scatter (std 1.61°C) — model/noise error rather than a fixed station offset
"San Francisco, US",44,0.106,-0.111,1.129,1.37,1.381,positive,0.106,F,HIGH_VARIANCE,high scatter (std 1.38°C) — model/noise error rather than a fixed station offset
"Helsinki, FI",46,-0.087,-0.25,0.691,0.837,0.842,negative,0.087,C,OK,within tolerance — no systematic miss cause detected
"Karachi, PK",43,0.056,0.0,0.66,0.827,0.835,positive,0.056,C,OK,within tolerance — no systematic miss cause detected
