==================================================================================================================================
  DATE-MATCHING VERIFICATION — spill_date == archive_date PROOF
==================================================================================================================================
City: Dallas, US                | Predicted: 2026-08-10 | Spill: 36C | Archive date queried: 2026-08-10 | Actual max: 38.8C | round(38.8)=39 | Spill(36)!=39 -> WIN [WIN]
City: Dallas, US                | Predicted: 2026-08-10 | Spill: 37C | Archive date queried: 2026-08-10 | Actual max: 38.8C | round(38.8)=39 | Spill(37)!=39 -> WIN [WIN]
City: Denver, US                | Predicted: 2026-08-10 | Spill: 33C | Archive date queried: 2026-08-10 | Actual max: 36.3C | round(36.3)=36 | Spill(33)!=36 -> WIN [WIN]
City: Denver, US                | Predicted: 2026-08-10 | Spill: 32C | Archive date queried: 2026-08-10 | Actual max: 36.3C | round(36.3)=36 | Spill(32)!=36 -> WIN [WIN]
City: Denver, US                | Predicted: 2026-08-10 | Spill: 34C | Archive date queried: 2026-08-10 | Actual max: 36.3C | round(36.3)=36 | Spill(34)!=36 -> WIN [WIN]
City: Guangzhou, CN             | Predicted: 2026-08-10 | Spill: 34C | Archive date queried: 2026-08-10 | Actual max: 35.6C | round(35.6)=36 | Spill(34)!=36 -> WIN [WIN]
City: Guangzhou, CN             | Predicted: 2026-08-10 | Spill: 33C | Archive date queried: 2026-08-10 | Actual max: 35.6C | round(35.6)=36 | Spill(33)!=36 -> WIN [WIN]
City: Guangzhou, CN             | Predicted: 2026-08-10 | Spill: 35C | Archive date queried: 2026-08-10 | Actual max: 35.6C | round(35.6)=36 | Spill(35)!=36 -> WIN [WIN]
City: Helsinki, FI              | Predicted: 2026-08-10 | Spill: 21C | Archive date queried: 2026-08-10 | Actual max: 21.2C | round(21.2)=21 | Spill(21)==21 -> WIN [WIN]
City: Helsinki, FI              | Predicted: 2026-08-10 | Spill: 20C | Archive date queried: 2026-08-10 | Actual max: 21.2C | round(21.2)=21 | Spill(20)!=21 -> WIN [WIN]
City: Helsinki, FI              | Predicted: 2026-08-10 | Spill: 21C | Archive date queried: 2026-08-10 | Actual max: 21.2C | round(21.2)=21 | Spill(21)==21 -> WIN [WIN]
City: Hong Kong, HK             | Predicted: 2026-08-10 | Spill: 33C | Archive date queried: 2026-08-10 | Actual max: 36.2C | round(36.2)=36 | Spill(33)!=36 -> WIN [WIN]
City: Hong Kong, HK             | Predicted: 2026-08-10 | Spill: 32C | Archive date queried: 2026-08-10 | Actual max: 36.2C | round(36.2)=36 | Spill(32)!=36 -> WIN [WIN]
City: Hong Kong, HK             | Predicted: 2026-08-10 | Spill: 34C | Archive date queried: 2026-08-10 | Actual max: 36.2C | round(36.2)=36 | Spill(34)!=36 -> WIN [WIN]
City: Houston, US               | Predicted: 2026-08-10 | Spill: 31C | Archive date queried: 2026-08-10 | Actual max: 32.3C | round(32.3)=32 | Spill(31)!=32 -> WIN [WIN]
City: Houston, US               | Predicted: 2026-08-10 | Spill: 30C | Archive date queried: 2026-08-10 | Actual max: 32.3C | round(32.3)=32 | Spill(30)!=32 -> WIN [WIN]
City: Houston, US               | Predicted: 2026-08-10 | Spill: 31C | Archive date queried: 2026-08-10 | Actual max: 32.3C | round(32.3)=32 | Spill(31)!=32 -> WIN [WIN]
City: Istanbul, TR              | Predicted: 2026-08-10 | Spill: 25C | Archive date queried: 2026-08-10 | Actual max: 26.1C | round(26.1)=26 | Spill(25)!=26 -> WIN [WIN]
City: Istanbul, TR              | Predicted: 2026-08-10 | Spill: 23C | Archive date queried: 2026-08-10 | Actual max: 26.1C | round(26.1)=26 | Spill(23)!=26 -> WIN [WIN]
City: Istanbul, TR              | Predicted: 2026-08-10 | Spill: 27C | Archive date queried: 2026-08-10 | Actual max: 26.1C | round(26.1)=26 | Spill(27)!=26 -> LOSS [LOSS]
City: Jeddah, SA                | Predicted: 2026-08-10 | Spill: 37C | Archive date queried: 2026-08-10 | Actual max: 36.5C | round(36.5)=36 | Spill(37)!=36 -> LOSS [LOSS]
City: Jeddah, SA                | Predicted: 2026-08-10 | Spill: 35C | Archive date queried: 2026-08-10 | Actual max: 36.5C | round(36.5)=36 | Spill(35)!=36 -> WIN [WIN]
City: Jeddah, SA                | Predicted: 2026-08-10 | Spill: 38C | Archive date queried: 2026-08-10 | Actual max: 36.5C | round(36.5)=36 | Spill(38)!=36 -> LOSS [LOSS]
City: Jinan, CN                 | Predicted: 2026-08-10 | Spill: 32C | Archive date queried: 2026-08-10 | Actual max: 32.7C | round(32.7)=33 | Spill(32)!=33 -> WIN [WIN]
City: Jinan, CN                 | Predicted: 2026-08-10 | Spill: 30C | Archive date queried: 2026-08-10 | Actual max: 32.7C | round(32.7)=33 | Spill(30)!=33 -> WIN [WIN]
City: Jinan, CN                 | Predicted: 2026-08-10 | Spill: 34C | Archive date queried: 2026-08-10 | Actual max: 32.7C | round(32.7)=33 | Spill(34)!=33 -> LOSS [LOSS]
City: Karachi, PK               | Predicted: 2026-08-10 | Spill: 31C | Archive date queried: 2026-08-10 | Actual max: 33.8C | round(33.8)=34 | Spill(31)!=34 -> WIN [WIN]
City: Karachi, PK               | Predicted: 2026-08-10 | Spill: 30C | Archive date queried: 2026-08-10 | Actual max: 33.8C | round(33.8)=34 | Spill(30)!=34 -> WIN [WIN]
City: Karachi, PK               | Predicted: 2026-08-10 | Spill: 32C | Archive date queried: 2026-08-10 | Actual max: 33.8C | round(33.8)=34 | Spill(32)!=34 -> WIN [WIN]
City: Kuala Lumpur, MY          | Predicted: 2026-08-10 | Spill: 30C | Archive date queried: 2026-08-10 | Actual max: 33.2C | round(33.2)=33 | Spill(30)!=33 -> WIN [WIN]
City: Kuala Lumpur, MY          | Predicted: 2026-08-10 | Spill: 29C | Archive date queried: 2026-08-10 | Actual max: 33.2C | round(33.2)=33 | Spill(29)!=33 -> WIN [WIN]
City: Kuala Lumpur, MY          | Predicted: 2026-08-10 | Spill: 31C | Archive date queried: 2026-08-10 | Actual max: 33.2C | round(33.2)=33 | Spill(31)!=33 -> WIN [WIN]
City: London, UK                | Predicted: 2026-08-10 | Spill: 26C | Archive date queried: 2026-08-10 | Actual max: 31.5C | round(31.5)=32 | Spill(26)!=32 -> WIN [WIN]
City: London, UK                | Predicted: 2026-08-10 | Spill: 24C | Archive date queried: 2026-08-10 | Actual max: 31.5C | round(31.5)=32 | Spill(24)!=32 -> WIN [WIN]
City: London, UK                | Predicted: 2026-08-10 | Spill: 27C | Archive date queried: 2026-08-10 | Actual max: 31.5C | round(31.5)=32 | Spill(27)!=32 -> WIN [WIN]
City: Los Angeles, US           | Predicted: 2026-08-09 | Spill: 27C | Archive date queried: 2026-08-09 | Actual max: 25.4C | round(25.4)=25 | Spill(27)!=25 -> LOSS [LOSS]
City: Los Angeles, US           | Predicted: 2026-08-09 | Spill: 24C | Archive date queried: 2026-08-09 | Actual max: 25.4C | round(25.4)=25 | Spill(24)!=25 -> WIN [WIN]
City: Los Angeles, US           | Predicted: 2026-08-09 | Spill: 29C | Archive date queried: 2026-08-09 | Actual max: 25.4C | round(25.4)=25 | Spill(29)!=25 -> LOSS [LOSS]
City: Lucknow, IN               | Predicted: 2026-08-10 | Spill: 31C | Archive date queried: 2026-08-10 | Actual max: 32.8C | round(32.8)=33 | Spill(31)!=33 -> WIN [WIN]
