city,date,predicted_mean_c,predicted_spill_c,strategy,resolved_c,resolved_unit,deviation_c,win_loss,bucket_label
"Amsterdam, NL",2026-08-11,22.1,22,mean,22.0,C,0.1,WIN,22.0°C
"Amsterdam, NL",2026-08-11,22.29,23,modifisert,22.0,C,0.29,LOSS,22.0°C
"Amsterdam, NL",2026-08-11,22.1,20,p5,22.0,C,0.1,LOSS,22.0°C
"Amsterdam, NL",2026-08-11,22.1,21,sigma,22.0,C,0.1,LOSS,22.0°C
"Ankara, TR",2026-08-11,30.6,31,mean,32.0,C,-1.4,LOSS,32.0°C
"Ankara, TR",2026-08-11,31.4,32,modifisert,32.0,C,-0.6,WIN,32.0°C
"Ankara, TR",2026-08-11,30.6,29,p5,32.0,C,-1.4,LOSS,32.0°C
"Ankara, TR",2026-08-11,30.6,29,sigma,32.0,C,-1.4,LOSS,32.0°C
"Atlanta, US",2026-08-11,32.3,32,mean,33.61,F,-1.31,LOSS,92-93°F
"Atlanta, US",2026-08-11,32.6,34,modifisert,33.61,F,-1.01,LOSS,92-93°F
"Atlanta, US",2026-08-11,32.3,29,p5,33.61,F,-1.31,LOSS,92-93°F
"Atlanta, US",2026-08-11,32.3,30,sigma,33.61,F,-1.31,LOSS,92-93°F
"Austin, US",2026-08-11,37.2,37,mean,38.06,F,-0.86,LOSS,100-101°F
"Austin, US",2026-08-11,37.18,38,modifisert,38.06,F,-0.88,WIN,100-101°F
"Austin, US",2026-08-11,37.2,36,p5,38.06,F,-0.86,LOSS,100-101°F
"Austin, US",2026-08-11,37.2,36,sigma,38.06,F,-0.86,LOSS,100-101°F
"Beijing, CN",2026-08-11,32.9,33,mean,33.0,C,-0.1,WIN,33.0°C
"Beijing, CN",2026-08-11,32.8,33,modifisert,33.0,C,-0.2,WIN,33.0°C
"Beijing, CN",2026-08-11,32.9,31,p5,33.0,C,-0.1,LOSS,33.0°C
"Beijing, CN",2026-08-11,32.9,32,sigma,33.0,C,-0.1,LOSS,33.0°C
"Buenos Aires, AR",2026-08-11,11.1,11,mean,12.0,C,-0.9,LOSS,12.0°C
"Buenos Aires, AR",2026-08-11,11.35,12,modifisert,12.0,C,-0.65,WIN,12.0°C
"Buenos Aires, AR",2026-08-11,11.1,10,p5,12.0,C,-0.9,LOSS,12.0°C
"Buenos Aires, AR",2026-08-11,11.1,10,sigma,12.0,C,-0.9,LOSS,12.0°C
"Busan, KR",2026-08-11,29.3,29,mean,31.0,C,-1.7,LOSS,31.0°C
"Busan, KR",2026-08-11,29.97,31,modifisert,31.0,C,-1.03,WIN,31.0°C
"Busan, KR",2026-08-11,29.3,27,p5,31.0,C,-1.7,LOSS,31.0°C
"Busan, KR",2026-08-11,29.3,28,sigma,31.0,C,-1.7,LOSS,31.0°C
"Cape Town, ZA",2026-08-11,18.8,19,mean,20.0,C,-1.2,LOSS,20.0°C
"Cape Town, ZA",2026-08-11,20.01,20,modifisert,20.0,C,0.01,WIN,20.0°C
"Cape Town, ZA",2026-08-11,18.8,16,p5,20.0,C,-1.2,LOSS,20.0°C
"Cape Town, ZA",2026-08-11,18.8,17,sigma,20.0,C,-1.2,LOSS,20.0°C
"Chengdu, CN",2026-08-11,32.8,33,mean,35.0,C,-2.2,LOSS,35.0°C
"Chengdu, CN",2026-08-11,33.71,35,modifisert,35.0,C,-1.29,WIN,35.0°C
"Chengdu, CN",2026-08-11,32.8,30,p5,35.0,C,-2.2,LOSS,35.0°C
"Chengdu, CN",2026-08-11,32.8,31,sigma,35.0,C,-2.2,LOSS,35.0°C
"Chicago, US",2026-08-11,27.5,28,mean,26.94,F,0.56,LOSS,80-81°F
"Chicago, US",2026-08-11,26.63,26,modifisert,26.94,F,-0.31,LOSS,80-81°F
"Chicago, US",2026-08-11,27.5,24,p5,26.94,F,0.56,LOSS,80-81°F
"Chicago, US",2026-08-11,27.5,26,sigma,26.94,F,0.56,LOSS,80-81°F
"Chongqing, CN",2026-08-11,34.0,34,mean,35.0,C,-1.0,LOSS,35.0°C
"Chongqing, CN",2026-08-11,34.4,36,modifisert,35.0,C,-0.6,LOSS,35.0°C
"Chongqing, CN",2026-08-11,34.0,32,p5,35.0,C,-1.0,LOSS,35.0°C
"Chongqing, CN",2026-08-11,34.0,33,sigma,35.0,C,-1.0,LOSS,35.0°C
"Dallas, US",2026-08-11,38.2,38,mean,36.94,F,1.26,LOSS,98-99°F
"Dallas, US",2026-08-11,37.6,37,modifisert,36.94,F,0.66,WIN,98-99°F
"Dallas, US",2026-08-11,38.2,37,p5,36.94,F,1.26,WIN,98-99°F
"Dallas, US",2026-08-11,38.2,37,sigma,36.94,F,1.26,WIN,98-99°F
"Denver, US",2026-08-11,34.8,35,mean,34.72,F,0.08,WIN,94-95°F
"Denver, US",2026-08-11,35.14,37,modifisert,34.72,F,0.42,LOSS,94-95°F
"Denver, US",2026-08-11,34.8,34,p5,34.72,F,0.08,LOSS,94-95°F
"Denver, US",2026-08-11,34.8,34,sigma,34.72,F,0.08,LOSS,94-95°F
"Guangzhou, CN",2026-08-11,35.1,35,mean,37.0,C,-1.9,LOSS,37.0°C
"Guangzhou, CN",2026-08-11,35.1,37,modifisert,37.0,C,-1.9,WIN,37.0°C
"Guangzhou, CN",2026-08-11,35.1,34,p5,37.0,C,-1.9,LOSS,37.0°C
"Guangzhou, CN",2026-08-11,35.1,34,sigma,37.0,C,-1.9,LOSS,37.0°C
"Helsinki, FI",2026-08-11,18.1,18,mean,18.0,C,0.1,WIN,18.0°C
"Helsinki, FI",2026-08-11,18.0,19,modifisert,18.0,C,0.0,LOSS,18.0°C
"Helsinki, FI",2026-08-11,18.1,16,p5,18.0,C,0.1,LOSS,18.0°C
"Helsinki, FI",2026-08-11,18.1,17,sigma,18.0,C,0.1,LOSS,18.0°C
"Hong Kong, HK",2026-08-11,33.9,34,mean,35.0,C,-1.1,LOSS,35.0°C
"Hong Kong, HK",2026-08-11,33.74,35,modifisert,35.0,C,-1.26,WIN,35.0°C
"Hong Kong, HK",2026-08-11,33.9,32,p5,35.0,C,-1.1,LOSS,35.0°C
"Hong Kong, HK",2026-08-11,33.9,33,sigma,35.0,C,-1.1,LOSS,35.0°C
"Houston, US",2026-08-11,33.4,33,mean,33.61,F,-0.21,LOSS,92-93°F
"Houston, US",2026-08-11,33.61,34,modifisert,33.61,F,0.0,LOSS,92-93°F
"Houston, US",2026-08-11,33.4,32,p5,33.61,F,-0.21,LOSS,92-93°F
"Houston, US",2026-08-11,33.4,32,sigma,33.61,F,-0.21,LOSS,92-93°F
"Istanbul, TR",2026-08-11,26.5,26,mean,27.0,C,-0.5,LOSS,27.0°C
"Istanbul, TR",2026-08-11,26.9,27,modifisert,27.0,C,-0.1,WIN,27.0°C
"Istanbul, TR",2026-08-11,26.5,24,p5,27.0,C,-0.5,LOSS,27.0°C
"Istanbul, TR",2026-08-11,26.5,25,sigma,27.0,C,-0.5,LOSS,27.0°C
"Jeddah, SA",2026-08-11,39.2,39,mean,40.0,C,-0.8,LOSS,40.0°C
"Jeddah, SA",2026-08-11,38.98,39,modifisert,40.0,C,-1.02,LOSS,40.0°C
"Jeddah, SA",2026-08-11,39.2,35,p5,40.0,C,-0.8,LOSS,40.0°C
"Jeddah, SA",2026-08-11,39.2,37,sigma,40.0,C,-0.8,LOSS,40.0°C
"Jinan, CN",2026-08-11,30.8,31,mean,,C,,WIN,26°C or higher
"Jinan, CN",2026-08-11,30.8,30,modifisert,,C,,WIN,26°C or higher
"Jinan, CN",2026-08-11,30.8,28,p5,,C,,WIN,26°C or higher
"Jinan, CN",2026-08-11,30.8,29,sigma,,C,,WIN,26°C or higher
"Karachi, PK",2026-08-11,32.4,32,mean,32.0,C,0.4,WIN,32.0°C
"Karachi, PK",2026-08-11,32.44,33,modifisert,32.0,C,0.44,LOSS,32.0°C
"Karachi, PK",2026-08-11,32.4,30,p5,32.0,C,0.4,LOSS,32.0°C
"Karachi, PK",2026-08-11,32.4,31,sigma,32.0,C,0.4,LOSS,32.0°C
"Kuala Lumpur, MY",2026-08-11,31.4,31,mean,32.0,C,-0.6,LOSS,32.0°C
"Kuala Lumpur, MY",2026-08-11,32.08,34,modifisert,32.0,C,0.08,LOSS,32.0°C
"Kuala Lumpur, MY",2026-08-11,31.4,30,p5,32.0,C,-0.6,LOSS,32.0°C
"Kuala Lumpur, MY",2026-08-11,31.4,30,sigma,32.0,C,-0.6,LOSS,32.0°C
"London, UK",2026-08-11,24.5,24,mean,24.0,C,0.5,WIN,24.0°C
"London, UK",2026-08-11,24.3,25,modifisert,24.0,C,0.3,LOSS,24.0°C
"London, UK",2026-08-11,24.5,23,p5,24.0,C,0.5,LOSS,24.0°C
"London, UK",2026-08-11,24.5,24,sigma,24.0,C,0.5,WIN,24.0°C
"Los Angeles, US",2026-08-11,27.4,27,mean,26.94,F,0.46,WIN,80-81°F
"Los Angeles, US",2026-08-11,26.56,25,modifisert,26.94,F,-0.38,LOSS,80-81°F
"Los Angeles, US",2026-08-11,27.4,24,p5,26.94,F,0.46,LOSS,80-81°F
"Los Angeles, US",2026-08-11,27.4,25,sigma,26.94,F,0.46,LOSS,80-81°F
"Lucknow, IN",2026-08-11,34.1,34,mean,34.0,C,0.1,WIN,34.0°C
"Lucknow, IN",2026-08-11,34.25,34,modifisert,34.0,C,0.25,WIN,34.0°C
"Lucknow, IN",2026-08-11,34.1,31,p5,34.0,C,0.1,LOSS,34.0°C
"Lucknow, IN",2026-08-11,34.1,32,sigma,34.0,C,0.1,LOSS,34.0°C
"Madrid, ES",2026-08-11,35.3,35,mean,36.0,C,-0.7,LOSS,36.0°C
"Madrid, ES",2026-08-11,35.34,36,modifisert,36.0,C,-0.66,WIN,36.0°C
"Madrid, ES",2026-08-11,35.3,34,p5,36.0,C,-0.7,LOSS,36.0°C
"Madrid, ES",2026-08-11,35.3,34,sigma,36.0,C,-0.7,LOSS,36.0°C
"Manila, PH",2026-08-11,29.8,30,mean,31.0,C,-1.2,LOSS,31.0°C
"Manila, PH",2026-08-11,30.33,31,modifisert,31.0,C,-0.67,WIN,31.0°C
"Manila, PH",2026-08-11,29.8,29,p5,31.0,C,-1.2,LOSS,31.0°C
"Manila, PH",2026-08-11,29.8,29,sigma,31.0,C,-1.2,LOSS,31.0°C
"Mexico City, MX",2026-08-11,25.1,25,mean,25.0,C,0.1,WIN,25.0°C
"Mexico City, MX",2026-08-11,25.0,25,modifisert,25.0,C,0.0,WIN,25.0°C
"Mexico City, MX",2026-08-11,25.1,23,p5,25.0,C,0.1,LOSS,25.0°C
"Mexico City, MX",2026-08-11,25.1,24,sigma,25.0,C,0.1,LOSS,25.0°C
"Miami, US",2026-08-11,32.9,33,mean,33.61,F,-0.71,LOSS,92-93°F
"Miami, US",2026-08-11,33.42,34,modifisert,33.61,F,-0.19,LOSS,92-93°F
"Miami, US",2026-08-11,32.9,31,p5,33.61,F,-0.71,LOSS,92-93°F
"Miami, US",2026-08-11,32.9,32,sigma,33.61,F,-0.71,LOSS,92-93°F
"Milan, IT",2026-08-11,35.7,36,mean,36.0,C,-0.3,WIN,36.0°C
"Milan, IT",2026-08-11,35.79,36,modifisert,36.0,C,-0.21,WIN,36.0°C
"Milan, IT",2026-08-11,35.7,33,p5,36.0,C,-0.3,LOSS,36.0°C
"Milan, IT",2026-08-11,35.7,34,sigma,36.0,C,-0.3,LOSS,36.0°C
"Moscow, RU",2026-08-11,24.4,24,mean,26.0,C,-1.6,LOSS,26.0°C
"Moscow, RU",2026-08-11,24.72,25,modifisert,26.0,C,-1.28,LOSS,26.0°C
"Moscow, RU",2026-08-11,24.4,23,p5,26.0,C,-1.6,LOSS,26.0°C
"Moscow, RU",2026-08-11,24.4,24,sigma,26.0,C,-1.6,LOSS,26.0°C
"Munich, DE",2026-08-11,28.8,29,mean,31.0,C,-2.2,LOSS,31.0°C
"Munich, DE",2026-08-11,30.0,32,modifisert,31.0,C,-1.0,LOSS,31.0°C
"Munich, DE",2026-08-11,28.8,27,p5,31.0,C,-2.2,LOSS,31.0°C
"Munich, DE",2026-08-11,28.8,28,sigma,31.0,C,-2.2,LOSS,31.0°C
"New York, US",2026-08-11,31.0,31,mean,30.28,F,0.72,LOSS,86-87°F
"New York, US",2026-08-11,30.69,31,modifisert,30.28,F,0.41,LOSS,86-87°F
"New York, US",2026-08-11,31.0,30,p5,30.28,F,0.72,WIN,86-87°F
"New York, US",2026-08-11,31.0,30,sigma,30.28,F,0.72,WIN,86-87°F
"Panama City, PA",2026-08-11,33.5,34,mean,33.0,C,0.5,LOSS,33.0°C
"Panama City, PA",2026-08-11,33.92,35,modifisert,33.0,C,0.92,LOSS,33.0°C
"Panama City, PA",2026-08-11,33.5,32,p5,33.0,C,0.5,LOSS,33.0°C
"Panama City, PA",2026-08-11,33.5,32,sigma,33.0,C,0.5,LOSS,33.0°C
"Paris, FR",2026-08-11,31.9,32,mean,32.0,C,-0.1,WIN,32.0°C
"Paris, FR",2026-08-11,32.18,32,modifisert,32.0,C,0.18,WIN,32.0°C
"Paris, FR",2026-08-11,31.9,30,p5,32.0,C,-0.1,LOSS,32.0°C
"Paris, FR",2026-08-11,31.9,31,sigma,32.0,C,-0.1,LOSS,32.0°C
"Qingdao, CN",2026-08-11,31.6,32,mean,31.0,C,0.6,LOSS,31.0°C
"Qingdao, CN",2026-08-11,31.57,33,modifisert,31.0,C,0.57,LOSS,31.0°C
"Qingdao, CN",2026-08-11,31.6,30,p5,31.0,C,0.6,LOSS,31.0°C
"Qingdao, CN",2026-08-11,31.6,30,sigma,31.0,C,0.6,LOSS,31.0°C
"San Francisco, US",2026-08-11,21.4,21,mean,24.72,F,-3.32,LOSS,76-77°F
"San Francisco, US",2026-08-11,20.69,22,modifisert,24.72,F,-4.03,LOSS,76-77°F
"San Francisco, US",2026-08-11,21.4,18,p5,24.72,F,-3.32,LOSS,76-77°F
"San Francisco, US",2026-08-11,21.4,19,sigma,24.72,F,-3.32,LOSS,76-77°F
"Sao Paulo, BR",2026-08-11,16.2,16,mean,18.0,C,-1.8,LOSS,18.0°C
"Sao Paulo, BR",2026-08-11,16.69,17,modifisert,18.0,C,-1.31,LOSS,18.0°C
"Sao Paulo, BR",2026-08-11,16.2,15,p5,18.0,C,-1.8,LOSS,18.0°C
"Sao Paulo, BR",2026-08-11,16.2,15,sigma,18.0,C,-1.8,LOSS,18.0°C
"Seattle, US",2026-08-11,24.9,25,mean,25.83,F,-0.93,LOSS,78-79°F
"Seattle, US",2026-08-11,25.58,26,modifisert,25.83,F,-0.25,WIN,78-79°F
"Seattle, US",2026-08-11,24.9,23,p5,25.83,F,-0.93,LOSS,78-79°F
"Seattle, US",2026-08-11,24.9,24,sigma,25.83,F,-0.93,LOSS,78-79°F
"Seoul (Incheon), KR",2026-08-11,30.4,30,mean,32.0,C,-1.6,LOSS,32.0°C
"Seoul (Incheon), KR",2026-08-11,31.85,34,modifisert,32.0,C,-0.15,LOSS,32.0°C
"Seoul (Incheon), KR",2026-08-11,30.4,27,p5,32.0,C,-1.6,LOSS,32.0°C
"Seoul (Incheon), KR",2026-08-11,30.4,28,sigma,32.0,C,-1.6,LOSS,32.0°C
"Shanghai, CN",2026-08-11,28.3,28,mean,29.0,C,-0.7,LOSS,29.0°C
"Shanghai, CN",2026-08-11,28.2,29,modifisert,29.0,C,-0.8,WIN,29.0°C
"Shanghai, CN",2026-08-11,28.3,27,p5,29.0,C,-0.7,LOSS,29.0°C
"Shanghai, CN",2026-08-11,28.3,27,sigma,29.0,C,-0.7,LOSS,29.0°C
"Shenzhen, CN",2026-08-11,35.1,35,mean,37.0,C,-1.9,LOSS,37.0°C
"Shenzhen, CN",2026-08-11,35.02,35,modifisert,37.0,C,-1.98,LOSS,37.0°C
"Shenzhen, CN",2026-08-11,35.1,33,p5,37.0,C,-1.9,LOSS,37.0°C
"Shenzhen, CN",2026-08-11,35.1,34,sigma,37.0,C,-1.9,LOSS,37.0°C
"Singapore, SG",2026-08-11,31.7,32,mean,33.0,C,-1.3,LOSS,33.0°C
"Singapore, SG",2026-08-11,31.92,33,modifisert,33.0,C,-1.08,WIN,33.0°C
"Singapore, SG",2026-08-11,31.7,30,p5,33.0,C,-1.3,LOSS,33.0°C
"Singapore, SG",2026-08-11,31.7,31,sigma,33.0,C,-1.3,LOSS,33.0°C
"Taipei, TW",2026-08-11,33.1,33,mean,35.0,C,-1.9,LOSS,35.0°C
"Taipei, TW",2026-08-11,33.1,36,modifisert,35.0,C,-1.9,LOSS,35.0°C
"Taipei, TW",2026-08-11,33.1,31,p5,35.0,C,-1.9,LOSS,35.0°C
"Taipei, TW",2026-08-11,33.1,32,sigma,35.0,C,-1.9,LOSS,35.0°C
"Tel Aviv, IL",2026-08-11,35.9,36,mean,35.0,C,0.9,LOSS,35.0°C
"Tel Aviv, IL",2026-08-11,35.37,35,modifisert,35.0,C,0.37,WIN,35.0°C
"Tel Aviv, IL",2026-08-11,35.9,34,p5,35.0,C,0.9,LOSS,35.0°C
"Tel Aviv, IL",2026-08-11,35.9,35,sigma,35.0,C,0.9,WIN,35.0°C
"Tokyo, JP",2026-08-11,29.8,30,mean,32.0,C,-2.2,LOSS,32.0°C
"Tokyo, JP",2026-08-11,30.04,30,modifisert,32.0,C,-1.96,LOSS,32.0°C
"Tokyo, JP",2026-08-11,29.8,28,p5,32.0,C,-2.2,LOSS,32.0°C
"Tokyo, JP",2026-08-11,29.8,29,sigma,32.0,C,-2.2,LOSS,32.0°C
"Toronto, CA",2026-08-11,28.2,28,mean,29.0,C,-0.8,LOSS,29.0°C
"Toronto, CA",2026-08-11,28.58,29,modifisert,29.0,C,-0.42,WIN,29.0°C
"Toronto, CA",2026-08-11,28.2,26,p5,29.0,C,-0.8,LOSS,29.0°C
"Toronto, CA",2026-08-11,28.2,27,sigma,29.0,C,-0.8,LOSS,29.0°C
"Warsaw, PL",2026-08-11,22.1,22,mean,22.0,C,0.1,WIN,22.0°C
"Warsaw, PL",2026-08-11,22.13,22,modifisert,22.0,C,0.13,WIN,22.0°C
"Warsaw, PL",2026-08-11,22.1,20,p5,22.0,C,0.1,LOSS,22.0°C
"Warsaw, PL",2026-08-11,22.1,21,sigma,22.0,C,0.1,LOSS,22.0°C
"Wuhan, CN",2026-08-11,29.5,30,mean,29.0,C,0.5,LOSS,29.0°C
"Wuhan, CN",2026-08-11,30.23,31,modifisert,29.0,C,1.23,LOSS,29.0°C
"Wuhan, CN",2026-08-11,29.5,27,p5,29.0,C,0.5,LOSS,29.0°C
"Wuhan, CN",2026-08-11,29.5,28,sigma,29.0,C,0.5,LOSS,29.0°C
"Zhengzhou, CN",2026-08-11,24.9,25,mean,26.0,C,-1.1,LOSS,26.0°C
"Zhengzhou, CN",2026-08-11,25.0,26,modifisert,26.0,C,-1.0,WIN,26.0°C
"Zhengzhou, CN",2026-08-11,24.9,23,p5,26.0,C,-1.1,LOSS,26.0°C
"Zhengzhou, CN",2026-08-11,24.9,24,sigma,26.0,C,-1.1,LOSS,26.0°C
"Amsterdam, NL",2026-08-12,27.5,28,mean,28.0,C,-0.5,WIN,28.0°C
"Amsterdam, NL",2026-08-12,27.96,29,modifisert,28.0,C,-0.04,LOSS,28.0°C
"Amsterdam, NL",2026-08-12,27.5,24,p5,28.0,C,-0.5,LOSS,28.0°C
"Amsterdam, NL",2026-08-12,27.5,26,sigma,28.0,C,-0.5,LOSS,28.0°C
"Ankara, TR",2026-08-12,31.5,32,mean,32.0,C,-0.5,WIN,32.0°C
"Ankara, TR",2026-08-12,31.88,33,modifisert,32.0,C,-0.12,LOSS,32.0°C
"Ankara, TR",2026-08-12,31.5,30,p5,32.0,C,-0.5,LOSS,32.0°C
"Ankara, TR",2026-08-12,31.5,30,sigma,32.0,C,-0.5,LOSS,32.0°C
"Atlanta, US",2026-08-12,32.7,33,mean,33.61,F,-0.91,LOSS,92-93°F
"Atlanta, US",2026-08-12,33.17,35,modifisert,33.61,F,-0.44,LOSS,92-93°F
"Atlanta, US",2026-08-12,32.7,31,p5,33.61,F,-0.91,LOSS,92-93°F
"Atlanta, US",2026-08-12,32.7,31,sigma,33.61,F,-0.91,LOSS,92-93°F
"Austin, US",2026-08-12,37.6,38,mean,38.06,F,-0.46,WIN,100-101°F
"Austin, US",2026-08-12,37.7,39,modifisert,38.06,F,-0.36,LOSS,100-101°F
"Austin, US",2026-08-12,37.6,36,p5,38.06,F,-0.46,LOSS,100-101°F
"Austin, US",2026-08-12,37.6,37,sigma,38.06,F,-0.46,LOSS,100-101°F
"Beijing, CN",2026-08-12,25.7,26,mean,27.0,C,-1.3,LOSS,27.0°C
"Beijing, CN",2026-08-12,25.82,27,modifisert,27.0,C,-1.18,WIN,27.0°C
"Beijing, CN",2026-08-12,25.7,24,p5,27.0,C,-1.3,LOSS,27.0°C
"Beijing, CN",2026-08-12,25.7,25,sigma,27.0,C,-1.3,LOSS,27.0°C
"Buenos Aires, AR",2026-08-12,11.6,12,mean,12.0,C,-0.4,WIN,12.0°C
"Buenos Aires, AR",2026-08-12,11.72,12,modifisert,12.0,C,-0.28,WIN,12.0°C
"Buenos Aires, AR",2026-08-12,11.6,10,p5,12.0,C,-0.4,LOSS,12.0°C
"Buenos Aires, AR",2026-08-12,11.6,10,sigma,12.0,C,-0.4,LOSS,12.0°C
"Cape Town, ZA",2026-08-12,21.3,21,mean,23.0,C,-1.7,LOSS,23.0°C
"Cape Town, ZA",2026-08-12,22.84,24,modifisert,23.0,C,-0.16,LOSS,23.0°C
"Cape Town, ZA",2026-08-12,21.3,20,p5,23.0,C,-1.7,LOSS,23.0°C
"Cape Town, ZA",2026-08-12,21.3,20,sigma,23.0,C,-1.7,LOSS,23.0°C
"Chengdu, CN",2026-08-12,34.8,35,mean,38.0,C,-3.2,LOSS,38.0°C
"Chengdu, CN",2026-08-12,35.62,37,modifisert,38.0,C,-2.38,LOSS,38.0°C
"Chengdu, CN",2026-08-12,34.8,33,p5,38.0,C,-3.2,LOSS,38.0°C
"Chengdu, CN",2026-08-12,34.8,34,sigma,38.0,C,-3.2,LOSS,38.0°C
"Chicago, US",2026-08-12,28.1,28,mean,28.06,F,0.04,WIN,82-83°F
"Chicago, US",2026-08-12,28.13,28,modifisert,28.06,F,0.07,WIN,82-83°F
"Chicago, US",2026-08-12,28.1,26,p5,28.06,F,0.04,LOSS,82-83°F
"Chicago, US",2026-08-12,28.1,27,sigma,28.06,F,0.04,LOSS,82-83°F
"Chongqing, CN",2026-08-12,34.2,34,mean,36.0,C,-1.8,LOSS,36.0°C
"Chongqing, CN",2026-08-12,34.8,37,modifisert,36.0,C,-1.2,LOSS,36.0°C
"Chongqing, CN",2026-08-12,34.2,33,p5,36.0,C,-1.8,LOSS,36.0°C
"Chongqing, CN",2026-08-12,34.2,33,sigma,36.0,C,-1.8,LOSS,36.0°C
"Dallas, US",2026-08-12,38.8,39,mean,38.06,F,0.74,LOSS,100-101°F
"Dallas, US",2026-08-12,38.61,38,modifisert,38.06,F,0.55,WIN,100-101°F
"Dallas, US",2026-08-12,38.8,38,p5,38.06,F,0.74,WIN,100-101°F
"Dallas, US",2026-08-12,38.8,38,sigma,38.06,F,0.74,WIN,100-101°F
"Denver, US",2026-08-12,34.2,34,mean,33.61,F,0.59,LOSS,92-93°F
"Denver, US",2026-08-12,33.41,35,modifisert,33.61,F,-0.2,LOSS,92-93°F
"Denver, US",2026-08-12,34.2,32,p5,33.61,F,0.59,LOSS,92-93°F
"Denver, US",2026-08-12,34.2,33,sigma,33.61,F,0.59,LOSS,92-93°F
"Guangzhou, CN",2026-08-12,36.5,36,mean,39.0,C,-2.5,LOSS,39.0°C
"Guangzhou, CN",2026-08-12,36.5,39,modifisert,39.0,C,-2.5,WIN,39.0°C
"Guangzhou, CN",2026-08-12,36.5,35,p5,39.0,C,-2.5,LOSS,39.0°C
"Guangzhou, CN",2026-08-12,36.5,35,sigma,39.0,C,-2.5,LOSS,39.0°C
"Helsinki, FI",2026-08-12,17.7,18,mean,17.0,C,0.7,LOSS,17.0°C
"Helsinki, FI",2026-08-12,17.52,18,modifisert,17.0,C,0.52,LOSS,17.0°C
"Helsinki, FI",2026-08-12,17.7,17,p5,17.0,C,0.7,WIN,17.0°C
"Helsinki, FI",2026-08-12,17.7,17,sigma,17.0,C,0.7,WIN,17.0°C
"Hong Kong, HK",2026-08-12,33.0,33,mean,34.0,C,-1.0,LOSS,34.0°C
"Hong Kong, HK",2026-08-12,33.09,34,modifisert,34.0,C,-0.91,WIN,34.0°C
"Hong Kong, HK",2026-08-12,33.0,31,p5,34.0,C,-1.0,LOSS,34.0°C
"Hong Kong, HK",2026-08-12,33.0,32,sigma,34.0,C,-1.0,LOSS,34.0°C
"Houston, US",2026-08-12,34.4,34,mean,34.72,F,-0.32,LOSS,94-95°F
"Houston, US",2026-08-12,34.65,34,modifisert,34.72,F,-0.07,LOSS,94-95°F
"Houston, US",2026-08-12,34.4,33,p5,34.72,F,-0.32,LOSS,94-95°F
"Houston, US",2026-08-12,34.4,33,sigma,34.72,F,-0.32,LOSS,94-95°F
"Istanbul, TR",2026-08-12,27.7,28,mean,28.0,C,-0.3,WIN,28.0°C
"Istanbul, TR",2026-08-12,28.62,29,modifisert,28.0,C,0.62,LOSS,28.0°C
"Istanbul, TR",2026-08-12,27.7,25,p5,28.0,C,-0.3,LOSS,28.0°C
"Istanbul, TR",2026-08-12,27.7,26,sigma,28.0,C,-0.3,LOSS,28.0°C
"Jeddah, SA",2026-08-12,38.9,39,mean,39.0,C,-0.1,WIN,39.0°C
"Jeddah, SA",2026-08-12,38.87,39,modifisert,39.0,C,-0.13,WIN,39.0°C
"Jeddah, SA",2026-08-12,38.9,35,p5,39.0,C,-0.1,LOSS,39.0°C
"Jeddah, SA",2026-08-12,38.9,37,sigma,39.0,C,-0.1,LOSS,39.0°C
"Jinan, CN",2026-08-12,28.9,29,mean,,C,,WIN,26°C or higher
"Jinan, CN",2026-08-12,28.9,28,modifisert,,C,,WIN,26°C or higher
"Jinan, CN",2026-08-12,28.9,26,p5,,C,,WIN,26°C or higher
"Jinan, CN",2026-08-12,28.9,27,sigma,,C,,WIN,26°C or higher
"Karachi, PK",2026-08-12,32.7,33,mean,33.0,C,-0.3,WIN,33.0°C
"Karachi, PK",2026-08-12,32.68,33,modifisert,33.0,C,-0.32,WIN,33.0°C
"Karachi, PK",2026-08-12,32.7,31,p5,33.0,C,-0.3,LOSS,33.0°C
"Karachi, PK",2026-08-12,32.7,31,sigma,33.0,C,-0.3,LOSS,33.0°C
"Kuala Lumpur, MY",2026-08-12,32.3,32,mean,34.0,C,-1.7,LOSS,34.0°C
"Kuala Lumpur, MY",2026-08-12,33.39,34,modifisert,34.0,C,-0.61,WIN,34.0°C
"Kuala Lumpur, MY",2026-08-12,32.3,30,p5,34.0,C,-1.7,LOSS,34.0°C
"Kuala Lumpur, MY",2026-08-12,32.3,31,sigma,34.0,C,-1.7,LOSS,34.0°C
"London, UK",2026-08-12,31.0,31,mean,30.0,C,1.0,LOSS,30.0°C
"London, UK",2026-08-12,31.04,32,modifisert,30.0,C,1.04,LOSS,30.0°C
"London, UK",2026-08-12,31.0,30,p5,30.0,C,1.0,WIN,30.0°C
"London, UK",2026-08-12,31.0,30,sigma,30.0,C,1.0,WIN,30.0°C
"Los Angeles, US",2026-08-12,26.7,27,mean,24.72,F,1.98,LOSS,76-77°F
"Los Angeles, US",2026-08-12,25.61,25,modifisert,24.72,F,0.89,WIN,76-77°F
"Los Angeles, US",2026-08-12,26.7,23,p5,24.72,F,1.98,LOSS,76-77°F
"Los Angeles, US",2026-08-12,26.7,25,sigma,24.72,F,1.98,WIN,76-77°F
"Lucknow, IN",2026-08-12,35.8,36,mean,35.0,C,0.8,LOSS,35.0°C
